title,sku,status,type,regular_price,description,categories,images
00-128-6621BK,00-128-6621BK,publish,simple,56,00-128-6621BK,9,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-137BK,00-137BK,publish,simple,56,00-137BK,10,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-137BK,00-137BK,publish,simple,56,00-137BK,11,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BD,00-216625BD,publish,simple,56,00-216625BD,12,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,13,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,14,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,15,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,16,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,17,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,18,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BK,00-216625BK,publish,simple,56,00-216625BK,19,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BR,00-216625BR,publish,simple,56,00-216625BR,20,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625BR,00-216625BR,publish,simple,56,00-216625BR,21,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-216625CRBD,00-216625CRBD,publish,simple,56,00-216625CRBD,22,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3001BR,00-3001BR,publish,simple,56,00-3001BR,23,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3001LBR,00-3001LBR,publish,simple,56,00-3001LBR,24,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3003 CAMEL,00-3003 CAMEL,publish,simple,56,00-3003 CAMEL,25,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3003 CAMEL,00-3003 CAMEL,publish,simple,56,00-3003 CAMEL,26,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3003CAMEL,00-3003CAMEL,publish,simple,56,00-3003CAMEL,27,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3003CAMEL,00-3003CAMEL,publish,simple,56,00-3003CAMEL,28,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3003LBR,00-3003LBR,publish,simple,56,00-3003LBR,29,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3003WN,00-3003WN,publish,simple,56,00-3003WN,30,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3303BK,00-3303BK,publish,simple,56,00-3303BK,31,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3303BK,00-3303BK,publish,simple,56,00-3303BK,32,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3303BK,00-3303BK,publish,simple,56,00-3303BK,33,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3303BK,00-3303BK,publish,simple,56,00-3303BK,34,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3303LBR,00-3303LBR,publish,simple,56,00-3303LBR,35,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3306BK,00-3306BK,publish,simple,56,00-3306BK,36,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3306BK,00-3306BK,publish,simple,56,00-3306BK,37,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3403BK,00-3403BK,publish,simple,1,00-3403BK,38,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3403BK,00-3403BK,publish,simple,2,00-3403BK,39,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3403CAMEL,00-3403CAMEL,publish,simple,3,00-3403CAMEL,40,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3522BK,00-3522BK,publish,simple,4,00-3522BK,41,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3522BK,00-3522BK,publish,simple,5,00-3522BK,42,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3611BK,00-3611BK,publish,simple,6,00-3611BK,43,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3611BK,00-3611BK,publish,simple,7,00-3611BK,44,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-3906BK,00-3906BK,publish,simple,8,00-3906BK,45,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-92812ASST,00-92812ASST,publish,simple,9,00-92812ASST,46,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-92812ASST,00-92812ASST,publish,simple,10,00-92812ASST,47,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-BP26,00-BP26,publish,simple,11,00-BP26,48,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-BUXTONFATCRBK,00-BUXTONFATCRBK,publish,simple,12,00-BUXTONFATCRBK,49,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-CAMBRIDGE B1-BR,00-CAMBRIDGE B1-BR,publish,simple,13,00-CAMBRIDGE B1-BR,50,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-FC840,00-FC840,publish,simple,14,00-FC840,51,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-FC840,00-FC840,publish,simple,15,00-FC840,52,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-GUESS BI-BR,00-GUESS BI-BR,publish,simple,16,00-GUESS BI-BR,53,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-KENNETHCOLE(288950),00-KENNETHCOLE(288950),publish,simple,17,00-KENNETHCOLE(288950),54,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-KENNETHCOLE(288950),00-KENNETHCOLE(288950),publish,simple,18,00-KENNETHCOLE(288950),55,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-KENNETHCOLE(288950),00-KENNETHCOLE(288950),publish,simple,19,00-KENNETHCOLE(288950),56,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-KP004BK,00-KP004BK,publish,simple,20,00-KP004BK,57,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-KP004BK,00-KP004BK,publish,simple,21,00-KP004BK,58,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
00-KP004BK,00-KP004BK,publish,simple,22,00-KP004BK,59,http://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2013/06/T_2_back.jpg
